raw_id,cluster_index,merge_type,ID,survived
29116,594,merged,589.0,True
22775,733,merged,724.0,True
13148,426,merged,426.0,True
33047,264,merged,265.0,True
10153,707,merged,698.0,True
34983,1194,merged,1160.0,True
21548,265,merged,266.0,True
38946,744,merged,734.0,True
21413,265,merged,266.0,True
6690,456,merged,455.0,True
17547,1185,merged,1152.0,True
9313,181,merged,182.0,True
22740,175,merged,176.0,True
8703,971,merged,951.0,True
38949,678,merged,669.0,True
22377,285,merged,285.0,True
1561,217,merged,218.0,True
11950,1097,merged,1068.0,True
5933,935,merged,917.0,True
26000,166,merged,167.0,True
40499,1209,merged,1175.0,True
27967,1255,merged,1216.0,True
33598,464,merged,463.0,True
39289,643,merged,634.0,True
18134,515,merged,511.0,True
36318,1258,merged,1218.0,True
25630,1208,merged,1174.0,True
16317,531,merged,527.0,True
10017,707,merged,698.0,True
40603,1044,merged,1017.0,True
16825,1146,merged,1115.0,True
37370,383,merged,383.0,True
34032,404,merged,404.0,True
8784,1222,merged,1187.0,True
13064,710,merged,701.0,True
27126,651,merged,642.0,True
40155,1033,merged,1007.0,True
19260,515,merged,511.0,True
8090,719,merged,710.0,True
25156,764,merged,753.0,True
34279,592,merged,587.0,True
38298,735,merged,726.0,True
1435,177,merged,178.0,True
33657,1084,merged,1055.0,True
41047,517,merged,513.0,True
30438,1186,merged,1153.0,True
3020,1202,merged,1168.0,True
22356,368,merged,368.0,True
11079,990,merged,968.0,True
5839,1053,merged,1025.0,True
14902,250,merged,251.0,True
9978,997,merged,975.0,True
28584,594,merged,589.0,True
38648,1133,merged,1103.0,True
24955,1054,merged,1026.0,True
10472,589,merged,584.0,True
29703,483,merged,481.0,True
2056,923,merged,905.0,True
28986,804,merged,792.0,True
16025,1027,merged,1002.0,True
27040,968,merged,948.0,True
10130,582,merged,577.0,True
28007,1093,merged,1064.0,True
36793,287,merged,287.0,True
23325,285,merged,285.0,True
34081,899,merged,882.0,True
30631,1264,seed,1223.0,True
28967,790,merged,778.0,True
7621,92,merged,93.0,True
36771,568,merged,563.0,True
20170,871,merged,856.0,True
40831,1071,merged,1042.0,True
28680,1008,merged,985.0,True
25976,651,merged,642.0,True
17002,515,merged,511.0,True
11782,262,merged,263.0,True
20263,1023,merged,998.0,True
10854,1215,merged,1181.0,True
27850,771,merged,759.0,True
2189,1149,merged,1118.0,True
28792,759,merged,748.0,True
6760,1010,merged,987.0,True
30261,328,merged,328.0,True
16190,291,merged,291.0,True
1789,934,merged,916.0,True
38263,1120,merged,1090.0,True
15682,856,merged,843.0,True
5966,697,merged,688.0,True
22218,928,merged,910.0,True
3800,1104,merged,1074.0,True
30790,397,merged,397.0,True
30638,406,merged,406.0,True
34907,1243,merged,1204.0,True
6285,606,merged,600.0,True
6447,53,merged,54.0,True
38304,955,merged,935.0,True
25234,1184,merged,1151.0,True
10424,209,merged,210.0,True
37536,598,merged,592.0,True
17435,515,merged,511.0,True
39779,431,merged,430.0,True
7647,363,merged,363.0,True
2030,455,merged,454.0,True
40075,1209,merged,1175.0,True
18694,515,merged,511.0,True
4682,105,merged,106.0,True
28564,1067,merged,1038.0,True
9971,1265,seed,1224.0,True
28448,594,merged,589.0,True
29969,483,merged,481.0,True
37547,849,merged,836.0,True
23061,1266,seed,1225.0,True
2672,897,merged,880.0,True
37218,1120,merged,1090.0,True
16968,1146,merged,1115.0,True
1123,1056,merged,1028.0,True
7643,169,merged,170.0,True
29638,901,merged,884.0,True
33256,592,merged,587.0,True
28671,513,merged,510.0,True
39398,678,merged,669.0,True
25306,724,merged,715.0,True
27421,968,merged,948.0,True
34800,1084,merged,1055.0,True
23052,285,merged,285.0,True
28553,1131,merged,1101.0,True
26910,968,merged,948.0,True
22948,1156,merged,1125.0,True
38705,680,merged,671.0,True
10431,1175,merged,1143.0,True
3729,891,merged,874.0,True
27650,1066,merged,1037.0,True
4582,475,merged,473.0,True
37955,1133,merged,1103.0,True
20234,142,merged,143.0,True
18272,515,merged,511.0,True
35820,568,merged,563.0,True
39065,1209,merged,1175.0,True
34862,700,merged,691.0,True
32950,1123,merged,1093.0,True
12826,710,merged,701.0,True
16080,537,merged,532.0,True
2580,897,merged,880.0,True
25023,1267,seed,1226.0,True
9359,1249,merged,1210.0,True
39037,1071,merged,1042.0,True
9495,599,merged,593.0,True
19832,1060,merged,1032.0,True
39929,467,merged,466.0,True
39149,1071,merged,1042.0,True
25031,764,merged,753.0,True
2960,897,merged,880.0,True
21167,427,merged,427.0,True
21615,1014,merged,989.0,True
3804,40,merged,41.0,True
17320,1051,merged,1023.0,True
18411,515,merged,511.0,True
