n_members_threshold,candidates_kept,matched_true_clusters,match_rate,participating_candidates,purity_proxy,candidate_density,matched_pairs,median_distance_mpc_h,median_abs_dz,field_id,i_limit
20,1851,360,0.6593406593406593,675,0.3646677471636953,3.39010989010989,925,0.9909135232276663,0.040376692205696174,3,22.0
30,1268,310,0.5677655677655677,504,0.39747634069400634,2.3223443223443225,711,0.9844153372454395,0.03965886658142559,3,22.0
50,623,208,0.38095238095238093,277,0.4446227929373997,1.141025641025641,396,0.975195360106023,0.03823822786197853,3,22.0
80,98,66,0.12087912087912088,57,0.5816326530612245,0.1794871794871795,95,0.8806717258770117,0.040203831452436736,3,22.0
100,24,20,0.03663003663003663,15,0.625,0.04395604395604396,27,0.8616618091007401,0.019796168547563265,3,22.0
3,6408,516,0.945054945054945,1595,0.24890761548064919,11.736263736263735,2042,1.0332240006168578,0.04242478711003689,3,22.5
5,5563,496,0.9084249084249084,1496,0.26891964767211934,10.188644688644688,1931,1.0333991425737064,0.04184729515836422,3,22.5
7,4887,487,0.891941391941392,1378,0.28197258031512173,8.95054945054945,1794,1.034640787336298,0.04140079247565953,3,22.5
10,4053,463,0.847985347985348,1209,0.29829755736491487,7.423076923076923,1595,1.0345859747322101,0.042002993538366895,3,22.5
15,3098,429,0.7857142857142857,973,0.31407359586830214,5.673992673992674,1301,1.0246479531099162,0.042046108203823485,3,22.5
20,2543,396,0.7252747252747253,842,0.331104994101455,4.657509157509158,1131,1.0228991085505927,0.04119546619669706,3,22.5
30,1799,353,0.6465201465201466,637,0.3540856031128405,3.2948717948717947,874,1.0169242538477574,0.04056458568359595,3,22.5
50,1051,284,0.5201465201465202,411,0.3910561370123692,1.924908424908425,568,1.0073507092246528,0.04021903589756585,3,22.5
80,265,132,0.24175824175824176,137,0.5169811320754717,0.48534798534798534,211,0.9490215720419906,0.03797375605534753,3,22.5
100,77,61,0.11172161172161173,48,0.6233766233766234,0.14102564102564102,82,0.9431636319298684,0.04038420856801635,3,22.5
3,7419,521,0.9542124542124543,1684,0.22698476883677046,13.587912087912088,2143,1.0427223498511222,0.04339420150363266,3,23.0
5,6733,510,0.9340659340659341,1625,0.24134858161295114,12.331501831501832,2081,1.0436087938150762,0.043200014022067024,3,23.0
7,6086,498,0.9120879120879121,1541,0.2532040749260598,11.146520146520146,1984,1.0410277625022066,0.042925407039154456,3,23.0
10,5278,480,0.8791208791208791,1375,0.2605153467222433,9.666666666666666,1782,1.0432147873050552,0.0426525896236953,3,23.0
15,4152,455,0.8333333333333334,1105,0.2661368015414258,7.604395604395604,1443,1.0468539582570384,0.0421701061911236,3,23.0
20,3589,442,0.8095238095238095,978,0.27249930342713846,6.573260073260073,1272,1.03469204502666,0.04197763652633485,3,23.0
30,2758,406,0.7435897435897436,822,0.29804205946337925,5.051282051282051,1079,1.0274086533082059,0.040402550265654424,3,23.0
50,1574,335,0.6135531135531136,530,0.33672172808132145,2.8827838827838828,706,1.032054893146087,0.04087664513975403,3,23.0
80,602,224,0.41025641025641024,267,0.4435215946843854,1.1025641025641026,389,0.9783843945671484,0.040761633313009416,3,23.0
100,189,110,0.20146520146520147,101,0.5343915343915344,0.34615384615384615,162,0.9644793057119483,0.04020132292578336,3,23.0
3,7745,519,0.9505494505494505,1684,0.21743060038734668,14.184981684981684,2136,1.0251829983440195,0.04261948221872906,3,23.5
5,7368,514,0.9413919413919414,1648,0.22366992399565688,13.494505494505495,2096,1.0240028601954498,0.04261948221872906,3,23.5
7,6914,511,0.9358974358974359,1596,0.23083598495805613,12.663003663003662,2040,1.021662557973468,0.04241642706289192,3,23.5
10,6112,495,0.9065934065934066,1457,0.23838350785340315,11.194139194139193,1873,1.0202251227327317,0.04226619466616166,3,23.5
15,4932,471,0.8626373626373627,1201,0.2435117599351176,9.032967032967033,1563,1.0155008952220976,0.04242998487148564,3,23.5
20,4284,454,0.8315018315018315,1042,0.24323062558356676,7.846153846153846,1358,1.0155007824116251,0.04220911798515525,3,23.5
